index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Clr,Recov,home,game_id
3,Callum Wilson,9.0,eng ENG,FW,30-160,89,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.6,0.6,0.1,1.0,0.0,5.0,8.0,62.5,1.0,7.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1,2
4,Chris Wood,20.0,nz NZL,FW,30-242,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,5.0,1,2
5,Dan Burn,33.0,eng ENG,CB,30-089,90,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,46.0,2.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,28.0,33.0,84.8,1.0,14.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1,2
6,Fabian Schär,5.0,ch SUI,CB,30-229,90,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,68.0,2.0,3.0,3.0,0.1,0.1,0.1,2.0,0.0,38.0,52.0,73.1,3.0,25.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,5.0,1,2
7,Jacob Murphy,23.0,eng ENG,"LW,LM",27-163,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,10.0,1,2
8,Joe Willock,28.0,eng ENG,RM,22-351,79,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,45.0,4.0,0.0,2.0,0.2,0.2,0.2,1.0,0.0,26.0,30.0,86.7,2.0,26.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1,2
9,Joelinton,7.0,br BRA,LM,25-357,90,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,65.0,1.0,2.0,0.0,0.2,0.2,0.3,6.0,2.0,50.0,55.0,90.9,11.0,32.0,1.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,0.0,7.0,1,2
10,Kieran Trippier,2.0,eng ENG,RB,31-321,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,99.0,1.0,4.0,2.0,0.0,0.0,0.1,4.0,1.0,63.0,89.0,70.8,12.0,39.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1,2
11,Matt Targett,13.0,eng ENG,LB,26-322,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,3.0,0.0,0.0,0.0,0.0,0.1,5.0,0.0,47.0,60.0,78.3,10.0,21.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,10.0,1,2
12,Miguel Almirón,24.0,py PAR,RW,28-177,80,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.0,2.0,0.0,1.0,0.1,0.1,0.3,7.0,0.0,32.0,39.0,82.1,8.0,33.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,5.0,6.0,1,2
