index,Player,#_x,Nation,Pos_x,Age,Min,Gls,Ast,PK,PKatt,Sh_x,SoT,CrdY_x,CrdR_x,Touches,Tkl_x,Int_x,Blocks_x,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,#_y,Pos_y,Tkl_y,TklW_x,Def 3rd,Mid 3rd,Att 3rd,Tkl_y,Att_y,Tkl%,Lost_x,Blocks_y,Sh_y,Pass,Int_y,Tkl+Int,Clr,Err,#,Pos,CrdY_y,CrdR_y,2CrdY,Fls,Fld,Off,Crs,Int,TklW_y,PKwon,PKcon,OG,Recov,Won,Lost_y,Won%,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
2,Christian Eriksen,23.0,dk DEN,AM,26-178,90,0,0,0,0,2,1,0,0,78,1,1,2,0.1,0.1,0.4,7,0,50,63,79.4,3,31,4,1,0,23.0,AM,1,0,0,1,0,1,3,33.3,2,2,0,2,1,2,1,0,23.0,AM,0,0,0,0,1,0,8,1,0,0,0,0,6,1,2,33.3,,,,,,,,,,,,,,,,,,,,,0,1
3,Davinson Sánchez,6.0,co COL,CB,22-060,90,0,1,0,0,3,0,0,0,88,0,2,1,0.3,0.3,0.3,1,1,67,72,93.1,3,36,0,0,0,6.0,CB,0,0,0,0,0,0,1,0.0,1,1,1,0,2,2,8,0,6.0,CB,0,0,0,0,0,0,0,2,0,0,0,0,2,2,4,33.3,,,,,,,,,,,,,,,,,,,,,0,1
4,Dele Alli,20.0,eng ENG,"LM,LW",22-122,79,1,0,0,0,2,2,0,0,57,3,0,5,0.8,0.8,0.0,1,0,30,39,76.9,8,19,1,2,1,20.0,"LM,LW",3,2,0,3,0,1,1,100.0,0,5,2,3,0,3,3,0,20.0,"LM,LW",0,0,0,0,2,0,1,0,2,0,0,0,9,1,2,33.3,,,,,,,,,,,,,,,,,,,,,0,1
5,Eric Dier,15.0,eng ENG,"CM,DM",24-208,87,0,0,0,0,0,0,1,0,70,4,1,2,0.0,0.0,0.0,1,0,48,56,85.7,3,30,0,0,0,15.0,"CM,DM",4,3,0,4,0,3,5,60.0,2,2,1,1,1,5,5,0,15.0,"CM,DM",1,0,0,2,1,0,0,1,3,0,0,0,4,2,3,40.0,,,,,,,,,,,,,,,,,,,,,0,1
6,Harry Kane,10.0,eng ENG,FW,25-014,90,0,0,0,0,2,0,1,0,47,1,0,2,0.1,0.1,0.5,4,0,23,33,69.7,5,28,1,1,0,10.0,FW,1,1,1,0,0,0,2,0.0,2,2,0,2,0,1,1,0,10.0,FW,1,0,0,1,3,0,0,0,1,0,0,0,5,1,2,33.3,,,,,,,,,,,,,,,,,,,,,0,1
7,Hugo Lloris,1.0,fr FRA,GK,31-228,90,0,0,0,0,0,0,0,0,41,1,0,0,0.0,0.0,0.0,0,0,25,35,71.4,0,12,0,0,0,1.0,GK,1,0,1,0,0,0,0,,0,0,0,0,0,1,3,0,1.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.0,1.0,1.0,50.0,0.8,6.0,13.0,46.2,25.0,6.0,36.0,33.4,10.0,40.0,42.4,10.0,2.0,20.0,3.0,16.1,0,1
8,Jan Vertonghen,5.0,be BEL,CB,31-109,90,1,0,0,0,1,1,0,0,95,4,3,1,0.3,0.3,0.0,0,0,68,77,88.3,7,40,0,0,0,5.0,CB,4,3,1,3,0,2,4,50.0,2,1,1,0,3,7,11,0,5.0,CB,0,0,0,0,0,0,0,3,3,0,0,0,7,4,4,50.0,,,,,,,,,,,,,,,,,,,,,0,1
9,Lucas Moura,27.0,br BRA,AM,25-363,67,0,0,0,0,1,0,0,0,33,1,1,1,0.1,0.1,0.0,0,0,14,21,66.7,1,13,0,2,1,27.0,AM,1,1,0,1,0,0,1,0.0,1,1,0,1,1,2,1,0,27.0,AM,0,0,0,1,1,0,0,1,1,0,0,0,2,1,4,20.0,,,,,,,,,,,,,,,,,,,,,0,1
10,Luke Amos,40.0,eng ENG,DM,21-169,3,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,0,0,0,0,40.0,DM,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,40.0,DM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0,,,,,,,,,,,,,,,,,,,,,0,1
11,Mousa Dembélé,19.0,be BEL,DM,31-026,23,0,0,0,0,1,0,0,0,30,1,0,0,0.0,0.0,0.0,1,0,22,24,91.7,2,14,1,1,1,19.0,DM,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,19.0,DM,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,33.3,,,,,,,,,,,,,,,,,,,,,0,1
