Rk;Player;Nation;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
73;Jorge Cuenca;es ESP;Fulham;25-317;1999;2;1;88;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
74;Josh Cullen;ie IRL;Burnley;29-176;1996;6;6;502;05.jun;1;1;2;1;0;0;0;0;0.1;0.1;0.8;0.9;2;31;2;0.18;0.18;0.36;0.18;0.36;0.01;0.14;0.15;0.01;0.15;Matches
75;Matheus Cunha;br BRA;Manchester Utd;26-126;1999;5;4;326;03.jun;0;0;0;0;0;0;0;0;0.9;0.9;0.2;01.feb;12;14;17;0.00;0.00;0.00;0.00;0.00;0.26;0.07;0.32;0.26;0.32;Matches
Rk;Player;Nation;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
76;Diogo Dalot;pt POR;Manchester Utd;26-196;1999;4;3;273;3.0;0;1;1;0;0;0;0;0;0.0;0.0;0.9;0.9;11;8;25;0.00;0.33;0.33;0.00;0.33;0.00;0.31;0.31;0.00;0.31;Matches
77;Mikkel Damsgaard;dk DEN;Brentford;25-089;2000;4;4;348;03.sep;1;0;1;1;0;0;0;0;0.2;0.2;0.4;0.7;8;18;14;0.26;0.00;0.26;0.26;0.26;0.06;0.11;0.17;0.06;0.17;Matches
78;Kevin Danso;at AUT;Tottenham;27-011;1998;1;0;10;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
79;Karl Darlow;wls WAL;Leeds United;34-357;1990;3;3;270;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
80;Maxim De Cuyper;be BEL;Brighton;24-282;2000;5;4;276;03.jan;1;0;1;1;0;0;1;0;0.6;0.6;0.1;0.7;1;11;9;0.33;0.00;0.33;0.33;0.33;0.21;0.02;0.23;0.21;0.23;Matches
81;Liam Delap;eng ENG;Chelsea;22-234;2003;3;2;93;1.0;0;0;0;0;0;0;0;0;0.2;0.2;0.0;0.2;2;3;4;0.00;0.00;0.00;0.00;0.00;0.22;0.00;0.22;0.22;0.22;Matches
82;Sepp van den Berg;nl NED;Brentford;23-284;2001;6;6;540;6.0;0;0;0;0;0;0;0;0;0.9;0.9;0.0;0.9;2;12;5;0.00;0.00;0.00;0.00;0.00;0.15;0.00;0.15;0.15;0.15;Matches
83;Justin Devenny;nir NIR;Crystal Palace;21-354;2003;5;1;143;01.jun;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0.2;5;5;9;0.00;0.00;0.00;0.00;0.00;0.08;0.07;0.15;0.08;0.15;Matches
84;Kiernan Dewsbury-Hall;eng ENG;Everton;27-024;1998;6;6;540;6.0;1;1;2;1;0;0;5;0;0.4;0.4;01.aug;02.feb;10;33;24;0.17;0.17;0.33;0.17;0.33;0.07;0.30;0.37;0.07;0.37;Matches
85;Bafodé Diakité;fr FRA;Bournemouth;24-267;2001;5;5;450;5.0;0;0;0;0;0;0;1;0;0.0;0.0;0.1;0.1;0;14;2;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.02;0.00;0.02;Matches
86;Amad Diallo;ci CIV;Manchester Utd;23-081;2002;5;4;357;4.0;0;0;0;0;0;0;0;0;01.mar;01.mar;0.7;2.0;21;16;31;0.00;0.00;0.00;0.00;0.00;0.32;0.18;0.50;0.32;0.50;Matches
87;Habib Diarra;sn SEN;Sunderland;21-270;2004;4;4;347;03.sep;0;0;0;0;0;0;1;0;0.6;0.6;0.0;0.6;10;13;17;0.00;0.00;0.00;0.00;0.00;0.15;0.01;0.16;0.15;0.16;Matches
88;Rúben Dias;pt POR;Manchester City;28-139;1997;6;5;455;05.jan;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;5;14;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
89;Tyler Dibling;eng ENG;Everton;19-202;2006;2;0;13;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;0;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
90;Lucas Digne;fr FRA;Aston Villa;32-072;1993;6;5;399;04.apr;0;1;1;0;0;0;1;0;0.1;0.1;0.3;0.4;5;10;33;0.00;0.23;0.23;0.00;0.23;0.03;0.06;0.09;0.03;0.09;Matches
