index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Clr,Recov,xA,xGC,home,game_id
4,El Hadji Diouf,12.0,sn SEN,"WB,LB",20-231,90,0,0,0,0,3,0,0,0,52,0,0,1,0.2,0.2,0.1,2,0,30,40,75.0,2,17,0,1,1,,,,,,,,,,,,,,,,,,,,,0,1,0.0,1.5,0,2
5,Guido Rodríguez,24.0,ar ARG,CM,31-126,70,0,0,0,0,1,0,0,0,42,0,0,3,0.0,0.0,0.0,1,0,28,34,82.4,4,14,0,0,0,,,,,,,,,,,,,,,,,,,,,0,2,0.0,1.5,0,2
6,James Ward-Prowse,8.0,eng ENG,CM,30-288,70,0,0,0,0,0,0,0,0,56,1,0,2,0.0,0.0,0.0,2,0,44,50,88.0,2,26,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,1.5,0,2
7,Jarrod Bowen,20.0,eng ENG,"FW,AM",28-239,90,0,0,0,0,4,1,0,0,45,2,0,0,0.2,0.2,0.0,6,0,22,30,73.3,5,18,2,5,2,,,,,,,,,,,,,,,,,,,,,3,3,0.1,1.5,0,2
8,Jean-Clair Todibo,25.0,fr FRA,CB,25-229,81,0,0,0,0,0,0,0,0,78,3,2,0,0.0,0.0,0.0,1,0,62,69,89.9,7,44,2,1,0,,,,,,,,,,,,,,,,,,,,,1,6,0.1,1.5,0,2
9,Lucas Paquetá,10.0,br BRA,"AM,DM,CM",27-354,90,0,0,0,0,0,0,0,0,75,1,0,1,0.0,0.0,0.0,2,0,53,65,81.5,11,30,0,3,0,,,,,,,,,,,,,,,,,,,,,1,4,0.0,1.5,0,2
10,Mads Hermansen,1.0,dk DEN,GK,25-036,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,25,37,67.6,0,27,0,0,0,5.0,3.0,2.0,40.0,1.6,8.0,20.0,40.0,36.0,4.0,55.6,38.5,1.0,0.0,26.0,10.0,1.0,10.0,0.0,8.2,8,2,0.0,1.5,0,2
11,Max Kilman,3.0,eng ENG,CB,28-085,90,0,0,0,0,0,0,1,0,84,3,0,0,0.0,0.0,0.0,3,0,67,71,94.4,5,44,0,0,0,,,,,,,,,,,,,,,,,,,,,4,2,0.0,1.5,0,2
12,Nayef Aguerd,5.0,ma MAR,CB,29-139,90,0,0,0,0,0,0,0,0,77,0,0,1,0.0,0.0,0.0,1,0,63,72,87.5,5,33,1,1,1,,,,,,,,,,,,,,,,,,,,,0,1,0.1,1.5,0,2
13,Niclas Füllkrug,11.0,de GER,"FW,AM",32-188,90,0,0,0,0,2,1,0,0,31,0,0,0,0.1,0.1,0.1,1,0,15,23,65.2,2,10,0,0,0,,,,,,,,,,,,,,,,,,,,,1,2,0.0,1.5,0,2
14,Tomáš Souček,28.0,cz CZE,"DM,CM",30-170,20,0,0,0,0,1,1,0,0,15,0,1,0,0.1,0.1,0.0,0,0,10,11,90.9,0,5,1,1,0,,,,,,,,,,,,,,,,,,,,,19,38,0.5,1.5,0,2
0,16 Players,,,,,990,3,3,0,0,16,6,0,0,649,12,1,6,2.3,2.3,1.8,29,6,477,559,85.3,31,422,17,16,11,,,,,,,,,,,,,,,,,,,,,3,2,0.0,1.6,1,3
1,Archie Gray,14.0,eng ENG,CM,19-157,70,0,0,0,0,0,0,0,0,46,1,0,1,0.0,0.0,0.0,1,0,38,41,92.7,6,32,2,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0.0,1.6,1,3
2,Brennan Johnson,22.0,wls WAL,LW,24-085,79,1,0,0,0,2,1,0,0,27,1,0,0,0.5,0.5,0.1,2,0,14,21,66.7,0,17,4,0,0,,,,,,,,,,,,,,,,,,,,,2,1,0.1,1.6,1,3
3,Cristian Romero,17.0,ar ARG,CB,27-111,90,0,0,0,0,0,0,0,0,94,0,0,2,0.0,0.0,0.0,0,0,78,88,88.6,3,67,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,0.0,1.6,1,3
4,Djed Spence,24.0,eng ENG,LB,25-007,90,0,0,0,0,2,1,0,0,61,0,0,0,0.2,0.2,0.0,2,0,51,56,91.1,7,44,4,1,1,,,,,,,,,,,,,,,,,,,,,0,3,0.6,1.6,1,3
5,Dominic Solanke,19.0,eng ENG,FW,27-336,20,0,0,0,0,1,0,0,0,6,1,0,0,0.1,0.1,0.0,0,0,1,1,100.0,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,1.6,1,3
