index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%,home,game_id
12,Wilfried Zaha,11.0,ci CIV,AM,23-277,90,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,4.0,6.0,1.0,0.0,0.0,0.0,,,,,1,3
13,Yannick Bolasie,10.0,cd COD,"FW,MF",27-081,25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,1,3
14,Yohan Cabaye,7.0,fr FRA,MF,30-212,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,1,3
0,13 Players,,,,,990,1.0,1.0,0.0,0.0,13.0,3.0,2.0,0.0,15.0,12.0,2.0,22.0,9.0,20.0,0.0,0.0,0.0,,,,,0,3
1,Ben Foster,1.0,eng ENG,GK,33-132,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,100.0,0,3
2,Claudio Yacob,5.0,ar ARG,CM,29-026,90,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,,,,,0,3
3,Craig Dawson,25.0,eng ENG,RB,26-099,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,,,,,0,3
4,Craig Gardner,8.0,eng ENG,LM,29-262,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,,,,,0,3
5,Darren Fletcher,24.0,sct SCO,CM,32-194,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,,,,,0,3
6,Gareth McAuley,23.0,nir NIR,CB,36-252,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0,3
7,James McClean,14.0,ie IRL,"DF,FW",27-113,20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,0,3
8,James Morrison,7.0,sct SCO,"FW,MF",30-080,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,3
9,Jonas Olsson,3.0,se SWE,CB,33-156,90,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,0,3
10,Jonny Evans,6.0,nir NIR,LB,28-223,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,,,,,0,3
11,Matt Phillips,10.0,sct SCO,RM,25-153,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,,,,,0,3
12,Saido Berahino,18.0,bi BDI,FW,23-009,85,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,3
13,Salomón Rondón,9.0,ve VEN,FW,26-332,90,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,,,,,0,3
0,13 Players,,,,,990,1.0,1.0,0.0,0.0,12.0,2.0,3.0,0.0,18.0,14.0,1.0,23.0,12.0,20.0,0.0,0.0,0.0,,,,,1,4
1,Adam Clayton,8.0,eng ENG,DM,27-212,90,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,,,,,1,4
2,Adam Forshaw,34.0,eng ENG,MF,24-310,69,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,1,4
3,Albert Adomah,27.0,gh GHA,AM,28-244,90,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,,,,,1,4
4,Antonio Barragán,17.0,es ESP,CB,29-062,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,,,,,1,4
5,Ben Gibson,6.0,eng ENG,CB,23-211,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,1,4
6,David Nugent,35.0,eng ENG,FW,31-103,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,4
7,Emilio Nsue,24.0,gq EQG,RB,26-318,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,1,4
8,Gastón Ramírez,21.0,uy URU,AM,25-255,87,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,4.0,1.0,7.0,2.0,4.0,0.0,0.0,0.0,,,,,1,4
9,George Friend,3.0,eng ENG,LB,28-301,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,,,,,1,4
10,Marten de Roon,14.0,nl NED,DM,25-137,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,1,4
11,Stewart Downing,19.0,eng ENG,AM,32-022,90,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,,,,,1,4
